,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
633,MECH 530,001,Mech of Composite Materials,12/19/2019,14:00,GYM,main gym,36-38,AAA,ZZZ
634,MECH 530,002,Mech of Composite Materials,12/19/2019,14:00,GYM,main gym,36-38,AAA,ZZZ
635,MECH 533,001,Subsonic Aerodynamics,12/10/2019,9:00,GYM,Fieldhouse,41,AAA,ZZZ
636,MECH 533,002,Subsonic Aerodynamics,12/10/2019,9:00,GYM,Fieldhouse,41,AAA,ZZZ
637,MECH 535,001,Turbomachinery and Propulsion,12/16/2019,14:00,GYM,BLEACHERS,1-2,AAA,ZZZ
638,MECH 535,002,Turbomachinery and Propulsion,12/16/2019,14:00,GYM,BLEACHERS,1-2,AAA,ZZZ
639,MECH 542,001,Spacecraft Dynamics,12/18/2019,9:00,GYM,main gym,36-38,AAA,ZZZ
640,MECH 542,002,Spacecraft Dynamics,12/18/2019,9:00,GYM,main gym,36-38,AAA,ZZZ
641,MECH 553,001,Design & Manuf of Microdevices,12/10/2019,14:00,ENGTR,0060,,AAA,ZZZ
642,MECH 553,002,Design & Manuf of Microdevices,12/10/2019,14:00,ENGTR,0060,,AAA,ZZZ
643,MECH 572,001,Introduction to Robotics,12/6/2019,9:00,GYM,main gym,29-30,AAA,ZZZ
644,MECH 572,002,Introduction to Robotics,12/6/2019,9:00,GYM,main gym,29-30,AAA,ZZZ
645,MGCR 211,001,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,12-19,AAA,ZZZ
646,MGCR 211,002,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,12-19,AAA,ZZZ
647,MGCR 211,003,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,12-19,AAA,ZZZ
648,MGCR 211,004,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,20-26,AAA,ZZZ
649,MGCR 211,005,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,20-26,AAA,ZZZ
650,MGCR 211,006,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,20-26,AAA,ZZZ
651,MGCR 211,007,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,7-11,AAA,ZZZ
